,,,,TI210422A1,TI210424A,TI210429A1,TI210429A3,TI210513A1,TI210511A,TI210504A,H207808,H207812,H207821,H207832,H207834,H207836
,,,,2021-04-22,2021-04-24,2021-04-29,2021-04-29,2021-05-13,2021-05-11,2021-05-04,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-19,2021-06-24
,,,,2021-05-14,2021-05-17,2021-05-19,2021-05-21,2021-05-26,2021-05-28,2021-05-31,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09
CH1145H-03 SP/221,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-04 SP/221,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-17 SP/221,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-03 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-04 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-17 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145H-03 SP/223,NEW,3,0,,,,,,,,,,,,,,,,,
CH1145H-04 SP/223,NEW,5,2,,,,,,,,,,,,,,,,,
CH1145H-17 SP/223,NEW,11,1,,,,,,,,,,,,,,,,,
CH1145S-03 SP/221,NEW,3,0,,,,,,,,,,,,,,,,,
CH1145S-04 SP/221,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145S-17 SP/221,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145S-03 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145S-04 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145S-17 SP/222,NEW,2,0,,,,,,,,,,,,,,,,,
CH1145S-02L SP/223,NEW,0,0,,,,,,,,,,,,,,,,,
CH1145S-03 SP/223,NEW,1,0,,,,,,,,,,,,,,,,,
CH1145S-04 SP/223,NEW,14,1,,,,,,,,,,,,,,,,,
CH1145S-17 SP/223,NEW,5,2,,,,,,,,,,,,,,,,,
CH1154-10 SP/196 SP/192,NEW,19,2,,,,,,,,,,,,,,,,,
CH1154-17L SP/196 SP/192,NEW,11,1,,,,,,,,,,,,,,,,,
CH1154-17S SP/196 SP/192,NEW,10,0,,,,,,,,,,,,,,,,,
CH1154-25 SP/196 SP/192,NEW,15,1,,,,,,,,,,,,,,,,,
CH1154-35 SP/192,NEW,39,3,,,,,,,,,,,,,,,,,
CH1154-63 SP/196 SP/192,NEW,3,1,,,,,,,,,,,,,,,,,
CH1154-10 SP/192 SP/196,NEW,14,2,,,,,,,,,,,,,,,,,
CH1154-17L SP/192 SP/196,NEW,19,1,,,,,,,,,,,,,,,,,
CH1154-17S SP/192 SP/196,NEW,17,0,,,,,,,,,,,,,,,,,
CH1154-25 SP/192 SP/196,NEW,15,3,,,,,,,,,,,,,,,,,
CH1154-35 SP/196,NEW,38,2,,,,,,,,,,,,,,,,,
CH1154-63 SP/192 SP/196,NEW,3,0,,,,,,,,,,,,,,,,,
CH1154-10 SP/213 SP/199,NEW,4,0,,,,,,,,,,,,,,,,,
CH1154-17L SP/213 SP/199,NEW,5,1,,,,,,,,,,,,,,,,,
CH1154-17S SP/213 SP/199,NEW,5,0,,,,,,,,,,,,,,,,,
CH1154-25 SP/213 SP/199,NEW,4,1,,,,,,,,,,,,,,,,,
